"Período","Países",año,valor
"Antes de 1970","Reino Unido",2011,0.1
"Ignorado (1)","Reino Unido",2011,0
"2010-2011","Alemania",2011,1.5
"2005-2009","Alemania",2011,2.3
"2000-2004","Alemania",2011,1.1
"1995-1999","Alemania",2011,1.1
"1990-1994","Alemania",2011,0.8
"1985-1989","Alemania",2011,1
"1980-1984","Alemania",2011,0.8
"1975-1979","Alemania",2011,0.5
"1970-1974","Alemania",2011,1.5
"Antes de 1970","Alemania",2011,1.9
"Ignorado (1)","Alemania",2011,0.6
"2010-2011","Otros países de Europa",2011,2.7
"2005-2009","Otros países de Europa",2011,3.6
"2000-2004","Otros países de Europa",2011,1.9
"1995-1999","Otros países de Europa",2011,1.9
"1990-1994","Otros países de Europa",2011,1.9
"1985-1989","Otros países de Europa",2011,4.4
"1980-1984","Otros países de Europa",2011,1.9
"1975-1979","Otros países de Europa",2011,0.9
"1970-1974","Otros países de Europa",2011,1.9
"Antes de 1970","Otros países de Europa",2011,6.3
"Ignorado (1)","Otros países de Europa",2011,3.1
"2010-2011","Asia",2011,2.9
"2005-2009","Asia",2011,1.5
"2000-2004","Asia",2011,1.7
"1995-1999","Asia",2011,1.7
"1990-1994","Asia",2011,1.2
"1985-1989","Asia",2011,1.2
"1980-1984","Asia",2011,1.3
"1975-1979","Asia",2011,1.5
"1970-1974","Asia",2011,1
"Antes de 1970","Asia",2011,1.6
"Ignorado (1)","Asia",2011,1.5
"2010-2011","África",2011,0.5
"2005-2009","África",2011,0.8
"2000-2004","África",2011,0.3
"1995-1999","África",2011,0.2
"1990-1994","África",2011,0.1
"1985-1989","África",2011,0.2
"1980-1984","África",2011,0.3
"1975-1979","África",2011,0.1
"1970-1974","África",2011,0.3
"Antes de 1970","África",2011,0.3
"Ignorado (1)","África",2011,0
"2010-2011","Oceanía",2011,0.5
"2005-2009","Oceanía",2011,0.6
"2000-2004","Oceanía",2011,0.3
"1995-1999","Oceanía",2011,0.3
"1990-1994","Oceanía",2011,0.4
"1985-1989","Oceanía",2011,0.7
"1980-1984","Oceanía",2011,1
"1975-1979","Oceanía",2011,0.3
"1970-1974","Oceanía",2011,0.3
"Antes de 1970","Oceanía",2011,0
"Ignorado (1)","Oceanía",2011,0
"2010-2011","Ignorado",2011,0.1
"2005-2009","Ignorado",2011,0
"2000-2004","Ignorado",2011,0.1
"1995-1999","Ignorado",2011,0.1
"1990-1994","Ignorado",2011,0.1
"1985-1989","Ignorado",2011,0
"1980-1984","Ignorado",2011,0.3
"1975-1979","Ignorado",2011,0.1
"1970-1974","Ignorado",2011,0.2
"Antes de 1970","Ignorado",2011,0.1
"Ignorado (1)","Ignorado",2011,1.5
